"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Interaction",5,13.510079515156,2.7020159030312,2.76291590055943,0.019558732681349
"Residuals  ",192,187.76794953366,0.977958070487814,NA,NA
