"","Gene","Value","Rank","Label"
"139","RPS6KA3",-0.104262908464677,139,NA
"140","ABCA8",-0.103665848081829,140,NA
"141","NUCKS1",-0.102953526400764,141,NA
"142","GNS",-0.101232420608189,142,NA
"143","PTPRA",-0.100133346310587,143,NA
"144","RFTN2",-0.0995387521370096,144,NA
"145","SOX2",-0.0991302436622152,145,NA
"146","ATRX",-0.0989641560660713,146,NA
"147","USP7",-0.0980071429714204,147,NA
"148","ARHGAP4",-0.096056010899691,148,NA
"149","SCD",-0.0945780134651672,149,NA
"150","RPS4X",-0.0928365497554279,150,NA
"151","CD9",-0.0924415716576156,151,NA
"152","MTUS1",-0.0916822299056555,152,NA
"153","RBFOX2",-0.0874438120920162,153,NA
"154","EHBP1",-0.0871139148783073,154,NA
"155","FRMD4A",-0.0846284973834483,155,NA
"156","TRIP4",-0.0836171900843207,156,NA
"157","SERPINE2",-0.0806586552454244,157,NA
"158","SASH3",-0.079046008397258,158,NA
"159","ABCB7",-0.0766079724806546,159,NA
"160","RPS26",-0.0713574363038531,160,NA
"161","PREX1",-0.0689946987763783,161,NA
"162","FOXO1",-0.0683576675018913,162,NA
"163","KHDRBS3",-0.0666258147208619,163,NA
"164","YME1L1",-0.0660394541383281,164,NA
"165","ARHGAP12",-0.065927812119981,165,NA
"166","RBBP7",-0.0631208530038889,166,NA
"167","MTMR1",-0.0625727841914265,167,NA
"168","HNRNPH2",-0.0619090053404165,168,NA
"169","FTSJ1",-0.0578981114460288,169,NA
"170","SLC39A11",-0.0570941195001832,170,NA
"171","NME7",-0.0560374294778584,171,NA
"172","ASB3",-0.0550357155500062,172,NA
"173","ALDH7A1",-0.0537844737452426,173,NA
"174","DRP2",-0.0527028787145692,174,NA
"175","ST3GAL4",-0.0520295860008269,175,NA
"176","MINDY1",-0.0505289066063927,176,NA
"177","ZNF185",-0.0503348969406405,177,NA
"178","ACTN4",-0.0495600201728183,178,NA
"179","NHS",-0.0477695714048775,179,NA
"180","UPRT",-0.0462593932846704,180,NA
"181","PXDN",-0.046255760217972,181,NA
"182","COPG1",-0.0433145915036565,182,NA
"183","UBXN1",-0.0425891455775034,183,NA
"184","SOD3",-0.0424204051891948,184,NA
"185","YIPF6",-0.0417182035580665,185,NA
"186","KANK1",-0.0405527095751651,186,NA
"187","MTM1",-0.0391464339890579,187,NA
"188","LPL",-0.0389980268860778,188,NA
"189","SUMF2",-0.0382287403717934,189,NA
"190","TBC1D15",-0.0376039745001748,190,NA
"191","AGAP1",-0.0368887585371211,191,NA
"192","KDM5C",-0.0359635999431382,192,NA
"193","NDRG1",-0.035511415887439,193,NA
"194","PLXNB3",-0.0347276125667216,194,NA
"195","ASCC1",-0.0337545138571969,195,NA
"196","CHM",-0.0306997138428729,196,NA
"197","PFN1",-0.0281747779247871,197,NA
"198","MTMR2",-0.0275111880854945,198,NA
"199","UBR1",-0.0256247888101146,199,NA
"200","UACA",-0.0240987311244638,200,NA
"201","GNAQ",-0.0233491258742947,201,NA
"202","PRPSAP1",-0.0233450965197187,202,NA
"203","EIF3B",-0.0221217985680456,203,NA
"204","RPE",-0.0210668885211519,204,NA
"205","SERPINB9",-0.0198459531131139,205,NA
"206","MAOA",-0.0181786113816086,206,NA
"207","UPF1",-0.0161794789538247,207,NA
"208","VPS45",-0.0158561720254426,208,NA
"209","ANKRD50",-0.0129395123895013,209,NA
"210","PPM1G",-0.0127983617557057,210,NA
"211","ADCY3",-0.00940439701692022,211,NA
"212","USP9X",-0.00684929734009112,212,NA
"213","PHKA2",-0.00682516839895814,213,NA
"214","HMGN5",-0.00620343969257228,214,NA
"215","PRPS1",-0.00603492941282397,215,NA
"216","GALK2",-0.00588204175009766,216,NA
