"","comparison","estimate","std.err","t.value","padj"
"M.Factor1 - F.Factor1","M.Factor1 - F.Factor1",0.0878534907274844,0.247581334592397,0.35484698744403,0.9786159244432
"M.Factor2 - F.Factor2","M.Factor2 - F.Factor2",0.695388824421054,0.247581334592397,2.80872879842053,0.0163665597737799
"M.Factor3 - F.Factor3","M.Factor3 - F.Factor3",0.596239681398226,0.247581334592397,2.40825780497484,0.0499954647495328
